,molecule_chembl_id,canonical_smiles,pIC50,fp
119,CHEMBL1784560,CCCCCCCCc1ccc(Nc2cc(C)nc3ncnn23)cc1,4.301029995663981,[1 1 1 ... 0 0 0]
120,CHEMBL1784559,CCCCCCCc1ccc(Nc2cc(C)nc3ncnn23)cc1,4.619788758288394,[1 1 1 ... 0 0 0]
121,CHEMBL1784558,CCCCCCc1ccc(Nc2cc(C)nc3ncnn23)cc1,5.376750709602099,[1 1 1 ... 0 0 0]
122,CHEMBL1784557,CCCCCc1ccc(Nc2cc(C)nc3ncnn23)cc1,6.086186147616283,[1 1 0 ... 0 0 0]
123,CHEMBL1784556,CCCCc1ccc(Nc2cc(C)nc3ncnn23)cc1,6.552841968657781,[0 0 0 ... 0 0 0]
124,CHEMBL1784555,CCCc1ccc(Nc2cc(C)nc3ncnn23)cc1,6.00436480540245,[0 0 0 ... 0 0 0]
125,CHEMBL1714424,CCc1ccc(Nc2cc(C)nc3ncnn23)cc1,6.214670164989233,[0 0 0 ... 0 0 0]
126,CHEMBL1784579,Cc1cc(Nc2ccc3c(c2)OCO3)n2ncnc2n1,5.795880017344075,[0 0 0 ... 0 0 0]
127,CHEMBL1784580,Cc1cc(Nc2ccc3sccc3c2)n2ncnc2n1,7.045757490560675,[0 0 0 ... 0 0 0]
128,CHEMBL1784581,Cc1cc(Nc2ccc3[nH]c(C(F)(F)F)nc3c2)n2ncnc2n1,4.6777807052660805,[0 0 0 ... 0 0 0]
129,CHEMBL1784589,Cc1cc(NC2Cc3ccccc3C2)n2ncnc2n1,6.301029995663981,[1 1 0 ... 0 0 0]
130,CHEMBL1784593,Cc1cc(NC2CCc3ccccc3C2)n2ncnc2n1,6.267606240177032,[1 1 0 ... 0 0 0]
131,CHEMBL1784590,Cc1cc(NC2Cc3ccc(F)cc3C2)n2ncnc2n1,6.214670164989233,[1 1 0 ... 0 0 0]
132,CHEMBL1784594,Cc1cc(NC2CCc3cc(F)ccc3C2)n2ncnc2n1,6.200659450546418,[1 1 0 ... 0 0 0]
133,CHEMBL1784595,Cc1cc(NC2CCc3cc(Cl)ccc3C2)n2ncnc2n1,6.173925197299173,[1 1 0 ... 0 0 0]
134,CHEMBL1784591,Cc1cc(NC2Cc3ccc(Br)cc3C2)n2ncnc2n1,5.920818753952375,[1 1 0 ... 0 0 0]
135,CHEMBL1784592,COc1cc2c(cc1OC)CC(Nc1cc(C)nc3ncnn13)C2,5.337242168318426,[1 1 0 ... 0 0 0]
136,CHEMBL1784710,CCCCCCCNc1cc(C)nc2ncnn12,5.0655015487564325,[1 1 0 ... 0 0 0]
137,CHEMBL1784708,Cc1cc(NCCc2ccccc2)n2ncnc2n1,4.823908740944319,[1 0 0 ... 0 0 0]
138,CHEMBL1784709,Cc1cc(NCCCc2ccccc2)n2ncnc2n1,4.585026652029182,[1 1 0 ... 0 0 0]
139,CHEMBL1784588,Cc1cc(NC2CCCCCCCCCCC2)n2ncnc2n1,4.236572006437063,[1 1 1 ... 0 0 0]
140,CHEMBL1784582,Cc1cc(NC2CC2)n2ncnc2n1,4.0,[1 1 0 ... 0 0 0]
141,CHEMBL1784583,Cc1cc(NC2CCC2)n2ncnc2n1,4.0,[1 1 0 ... 0 0 0]
142,CHEMBL1784584,Cc1cc(NC2CCCC2)n2ncnc2n1,4.0,[1 1 0 ... 0 0 0]
143,CHEMBL1784585,Cc1cc(NC2CCCCC2)n2ncnc2n1,4.0,[1 1 0 ... 0 0 0]
144,CHEMBL1784586,Cc1cc(NC2CCCCCC2)n2ncnc2n1,4.0,[1 1 1 ... 0 0 0]
145,CHEMBL1784587,Cc1cc(NC2CCCCCCC2)n2ncnc2n1,4.0,[1 1 1 ... 0 0 0]
146,CHEMBL1784596,Cc1cc(NOc2ccccc2)n2ncnc2n1,4.0,[0 0 0 ... 0 0 0]
147,CHEMBL1529387,Cc1cc(NCc2ccccc2)n2ncnc2n1,4.0,[0 0 0 ... 0 0 0]
148,CHEMBL1784706,Cc1cc(NCc2ccc(F)cc2)n2ncnc2n1,4.0,[0 0 0 ... 0 0 0]
149,CHEMBL1784707,Cc1cc(NCc2ccc(C(F)(F)F)cc2)n2ncnc2n1,4.0,[0 0 0 ... 0 0 0]
150,CHEMBL1784711,CCc1cc(Nc2ccc(C(F)(F)F)cc2)n2ncnc2n1,6.107905397309519,[1 1 0 ... 0 0 0]
151,CHEMBL1784712,FC(F)(F)c1ccc(Nc2cc(C(F)(F)F)nc3ncnn23)cc1,5.769551078621726,[0 0 0 ... 0 0 0]
152,CHEMBL1784713,FC(F)(F)c1ccc(Nc2cc(Cl)nc3ncnn23)cc1,6.769551078621726,[0 0 0 ... 1 0 0]
153,CHEMBL1784714,CCc1c(C)nc2ncnn2c1Nc1ccc(C(C)C)cc1,5.769551078621726,[1 1 0 ... 0 0 0]
154,CHEMBL1784715,CCc1c(C)nc2ncnn2c1Nc1ccc(OC(F)(F)F)cc1,5.494850021680094,[1 1 0 ... 0 0 0]
155,CHEMBL1784716,CCCc1c(C)nc2ncnn2c1Nc1ccc(C)cc1,4.0,[1 1 1 ... 0 0 0]
156,CHEMBL1784717,Cc1ccc(Nc2c3c(nc4ncnn24)CCC3)cc1F,5.853871964321762,[1 1 1 ... 0 0 0]
157,CHEMBL1956499,Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2nc(CCO)nc2n1,6.031517051446065,[1 0 0 ... 0 0 0]
158,CHEMBL1956498,Cc1cc(Nc2cccc(Cl)c2)n2nc(CO)nc2n1,5.214670164989233,[0 0 0 ... 0 0 0]
159,CHEMBL1956497,Cc1cc(Nc2ccc(Cl)cc2)n2nc(CO)nc2n1,5.275724130399211,[0 0 0 ... 0 0 0]
160,CHEMBL1956496,Cc1cc(Nc2ccc(Cl)cc2)n2nc(CCN)nc2n1,5.0,[1 0 0 ... 0 0 0]
161,CHEMBL1956495,CNCc1nc2nc(C)cc(Nc3cccc(Cl)c3)n2n1,5.0,[0 0 0 ... 0 0 0]
162,CHEMBL1956494,Cc1cc(Nc2cccc(Cl)c2)n2nc(CN)nc2n1,5.0,[0 0 0 ... 0 0 0]
163,CHEMBL1956493,Cc1cc(Nc2cccc(Cl)c2)n2nc(CN(C)C)nc2n1,5.0,[0 0 0 ... 0 0 0]
164,CHEMBL1956492,CNCCc1nc2nc(C)cc(Nc3cccc(Cl)c3)n2n1,5.0,[1 0 0 ... 0 0 0]
165,CHEMBL1956491,Cc1cc(Nc2ccc(Cl)cc2)n2nc(CN(C)C)nc2n1,5.0,[0 0 0 ... 0 0 0]
166,CHEMBL1956490,CNCc1nc2nc(C)cc(Nc3ccc(Cl)cc3)n2n1,5.0,[0 0 0 ... 0 0 0]
167,CHEMBL1956489,Cc1cc(Nc2ccc(Cl)cc2)n2nc(CN)nc2n1,5.0,[0 0 0 ... 0 0 0]
168,CHEMBL1956488,CNCCc1nc2nc(C)cc(Nc3ccc(Cl)cc3)n2n1,5.0,[1 0 0 ... 0 0 0]
169,CHEMBL1956487,Cc1cc(Nc2cccc(Cl)c2)n2[nH]c(=O)nc2n1,5.0,[0 0 0 ... 0 0 0]
170,CHEMBL1956486,Cc1cc(Nc2ccc(Cl)cc2)n2[nH]c(=O)nc2n1,5.0,[0 0 0 ... 0 0 0]
171,CHEMBL1956485,Cc1cc(Nc2ccc(Cl)cc2)n2nc(OCCN)nc2n1,5.0,[1 0 0 ... 0 0 0]
172,CHEMBL1956484,Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2nc(OCCN)nc2n1,5.0,[1 0 0 ... 0 0 0]
173,CHEMBL1956483,Cc1cc(Nc2cccc(Cl)c2)n2nc(OCCN)nc2n1,5.0,[1 0 0 ... 0 0 0]
174,CHEMBL1956482,Cc1cc(Nc2ccc(S(F)(F)(F)(F)F)cc2)n2nc(OCCN(C)C)nc2n1,5.0,[1 0 0 ... 0 0 0]
175,CHEMBL1956481,Cc1cc(Nc2ccc(C(F)(F)F)cc2)n2nc(OCCN(C)C)nc2n1,5.0,[1 0 0 ... 0 0 0]
176,CHEMBL1956480,Cc1cc(Nc2cccc(Cl)c2)n2nc(OCCN(C)C)nc2n1,5.0,[1 0 0 ... 0 0 0]
177,CHEMBL1956479,Cc1cc(Nc2ccc(Cl)cc2)n2nc(OCCN(C)C)nc2n1,5.0,[1 0 0 ... 0 0 0]
178,CHEMBL1955872,CNCCOc1nc2nc(C)cc(Nc3ccc(S(F)(F)(F)(F)F)cc3)n2n1,5.0,[1 0 0 ... 0 0 0]
179,CHEMBL1956478,CNCCOc1nc2nc(C)cc(Nc3ccc(C(F)(F)F)cc3)n2n1,5.0,[1 0 0 ... 0 0 0]
180,CHEMBL1956477,CNCCOc1nc2nc(C)cc(Nc3cccc(Cl)c3)n2n1,5.0,[1 0 0 ... 0 0 0]
181,CHEMBL1956476,CNCCOc1nc2nc(C)cc(Nc3ccc(Cl)cc3)n2n1,5.0,[1 0 0 ... 0 0 0]
182,CHEMBL1956475,COCCOc1nc2nc(C)cc(Nc3cccc(Cl)c3)n2n1,5.309803919971486,[1 0 0 ... 0 0 0]
183,CHEMBL1956474,COCCOc1nc2nc(C)cc(Nc3ccc(Cl)cc3)n2n1,5.0,[1 0 0 ... 0 0 0]
184,CHEMBL1956473,CCOc1nc2nc(C)cc(Nc3ccc(S(F)(F)(F)(F)F)cc3)n2n1,7.244125144327507,[1 0 0 ... 0 0 0]
185,CHEMBL1956472,CCOc1nc2nc(C)cc(Nc3ccc(C(F)(F)F)cc3)n2n1,7.251811972993799,[1 0 0 ... 0 0 0]
186,CHEMBL1956471,CCOc1nc2nc(C)cc(Nc3ccc(Cl)cc3)n2n1,6.568636235841013,[1 0 0 ... 0 0 0]
187,CHEMBL1956470,CCOc1nc2nc(C)cc(Nc3cccc(Cl)c3)n2n1,6.3979400086720375,[1 0 0 ... 0 0 0]
188,CHEMBL1956469,COc1nc2nc(C)cc(Nc3ccc(Cl)cc3)n2n1,6.337242168318426,[0 0 0 ... 0 0 0]
